ThicknessIdx,N_Events,NoiseFloor_mean_V,NoiseFloor_std_V,SNR_total_rms_mean_dB,SNR_total_rms_std_dB,SNR_total_rms_median_dB,SNR_total_rms_min_dB,SNR_total_rms_max_dB,SNR_peak_mean_dB_diagnostic,SNR_peak_median_dB_diagnostic,Unresolved_excess_fraction_pct,Thickness
1,3074,0.00122649662823202,8.18894299401201e-06,-0.00445754490971961,0.172823799877149,-0.00708454224225564,-0.567392561898975,0.617800238827954,11.0607964965482,10.9555357000813,51.4638906961614,2 mm
2,2980,0.0015628369717621,4.15449445852036e-06,1.55991629738154,0.41528286869207,1.54834739016362,-0.388191401890324,3.14557097085193,12.7957795816466,12.7410740272297,0.201342281879195,4 mm
3,2371,0.0016930322655024,5.81046820878272e-06,0.523573592450098,0.545529539092568,0.441129324373011,-0.74051052791806,4.21014813821222,11.5323486048161,11.4365950131791,9.53184310417545,6 mm
4,2788,0.00141121961480415,1.48061106818229e-05,1.29476550336946,0.376229228982118,1.26499535996393,0.117418664972426,2.87506115140464,12.5393593817221,12.4888747433088,0,8 mm
