ThicknessIdx,SampleID,SNR_total_median_dB,SNR_total_mean_dB,SNR_excess_median_dB,BuriedFraction,NoiseFloor_RMS_V,N_Events,Thickness
1,1,-0.0360426714138021,-0.0270679467593751,-16.3322467777448,0.571428571428571,0.00120870092443171,14,2 mm
1,2,0.00792295673985271,-0.00819088904607472,-15.6679377441302,0.473684210526316,0.00121312068336319,19,2 mm
1,3,-0.0676123443402169,-0.0410131708472334,-21.4395142380405,0.666666666666667,0.0012148740670473,12,2 mm
1,4,-0.0957419574386273,-0.116183520446405,-18.5353895740175,0.75,0.00121606934608834,12,2 mm
1,5,0.0129491919949611,-0.00880620257118116,-15.9280197030807,0.478260869565217,0.00121617865949173,23,2 mm
1,6,-0.0359970295558733,-0.0225097147119799,-16.0256241924185,0.692307692307692,0.00121725943290237,13,2 mm
1,7,-0.0218169349143802,-0.00750837614791664,-15.406962020254,0.538461538461538,0.00121511300816266,13,2 mm
1,8,-0.084272643022114,-0.0753155819576293,-15.9241766652224,0.733333333333333,0.00121797867777302,15,2 mm
1,9,-0.0356636399640032,-0.0317002621483121,-16.7167180277276,0.6875,0.00121667496606994,16,2 mm
1,10,0.0211569031347669,0.00524474642348017,-14.0557587383039,0.470588235294118,0.00121602917477385,17,2 mm
1,11,0.0127018965655368,0.0126552041802015,-18.3098550415208,0.444444444444444,0.00121571323154466,9,2 mm
1,12,0.0321111935865967,0.0330329602597556,-15.3063259300899,0.444444444444444,0.00121513716565338,18,2 mm
1,13,0.0670724584288546,0.0257965694483958,-15.3106247790272,0.333333333333333,0.00121394455653235,12,2 mm
1,14,-0.0354949578404433,-0.007173285199951,-14.7864976122393,0.5625,0.00121478734066114,16,2 mm
1,15,0.0226245627977992,0.0647991058848141,-15.4515143844319,0.411764705882353,0.00121590299339289,17,2 mm
1,16,-0.0204232362232609,0.0130136696719852,-15.0958442413821,0.529411764705882,0.00121639369390385,17,2 mm
1,17,-0.0290364994699533,0.000558516708986688,-15.7572552090921,0.555555555555556,0.00121460400202727,18,2 mm
1,18,-0.081319257321412,-0.022772185815287,-14.6546283360396,0.555555555555556,0.00121614288386059,9,2 mm
1,19,0.0106315003912389,0.0118918165720775,-15.0351739275986,0.5,0.00121456849523579,18,2 mm
1,20,-0.00779333337188915,0.0114745720142712,-13.856030951482,0.5,0.00121678473212169,18,2 mm
1,21,0.0209750420483882,0.0279164389508655,-15.4618677384282,0.333333333333333,0.00121475189249439,15,2 mm
1,22,-0.0549341803606466,-0.0395830274428424,-13.0495315374359,0.785714285714286,0.00121516310658705,14,2 mm
