ThicknessIdx,SNRBinIdx,N_Samples,SNR_total_median_mean_dB,AGR_mean,AGR_std,EOR_mean,EOR_std,Coverage_mean,Coverage_std,Thickness,SNRBin
1,2,111,-0.044939369504395,0.959354500179454,0.0303310299461679,0.0752821110372837,0.0714323892747463,0.924717888962716,0.0714323892747462,2 mm,-0.5 to 0
1,3,89,0.0382595397344454,0.952289900127304,0.0321926623532585,0.0648901450236617,0.044173529503059,0.935109854976339,0.044173529503059,2 mm,0 to 0.5
2,5,198,1.54482388873124,0.96569492886886,0.0231858095462939,0.133346827042563,0.0495521742437535,0.866653172957437,0.0495521742437535,4 mm,1 to 2
2,6,2,2.02211548714208,0.992460317460317,0.000561195858084717,0.14258514914322,0.00658191207366339,0.85741485085678,0.00658191207366341,4 mm,>2
3,3,125,0.380522825044173,0.910967476816946,0.0590167875578954,0.0713718689748683,0.071251277543724,0.928628131025132,0.071251277543724,6 mm,0 to 0.5
3,4,60,0.594508810846551,0.910697647280514,0.0548498258931038,0.067247578875475,0.0983141859222008,0.932752421124525,0.0983141859222008,6 mm,0.5 to 1
3,5,1,1.69086074802104,1,0,0.0784313725490196,0,0.92156862745098,0,6 mm,1 to 2
4,4,14,0.94388679244861,0.935368568497942,0.051561594892351,0.0841634976508004,0.0339046501806942,0.9158365023492,0.0339046501806942,8 mm,0.5 to 1
4,5,186,1.30295962239653,0.940401099656685,0.0413374457695342,0.0726699291053381,0.0453432564654253,0.927330070894662,0.0453432564654253,8 mm,1 to 2
