SampleID,HC,MC,LC,WC,EO,Final,AGR_orig,EOR_orig,AGR_layered,EOR_layered,Coverage
1,13,2,12,3,5,15,0.520000,0.277778,0.555556,0.166667,0.833333
2,15,0,17,3,1,15,0.468750,0.062500,0.468750,0.062500,NaN
1,1,16,5,110,17,17,0.166667,0.944444,0.772727,0.055556,0.944444
2,15,1,17,39,1,16,0.468750,0.062500,0.484848,0.000000,1.000000
1,1,1,0,0,10,2,1.000000,0.909091,1.000000,0.818182,0.181818
2,1,2,2,215,19,3,0.333333,0.950000,0.600000,0.850000,0.150000
